,cues,outcomes
1622,the_other_guy_this_davis_character_i_of_but_never_seen_in_action_a_broadway_boy_with_one_film_in_the_can,PastPerf
1623,at_the_beginning_of_the_game_luigi_five_doors_with_a_portal_behind_each_one,FutureSimple
1624,after_all_michael_involved_with_drugs_before,PresentPerf
1625,the_moon_out_full_and_white_flooding_him_with_its_hard_brightness,PastSimple
1626,he_from_camberwell_to_central_with_william_johnstone_and_at_his_request,PastPerf
1627,just_my_word_for_it,PresentSimple
1628,unimaginable_change,PastPerf
1629,keen_walkers_for_choice_by_the_range_of_tracks_and_routes_available_to_them_from_leisurely_strolls_through_alpine_meadows_to_more_taxing_and_strenuous_mountain_hikes,FutureSimple
1630,he_in_a_persistent_vegetative_state_at_airedale_general_hospital_near_keighley_yorkshire_ever_since,PresentPerf
1631,it_local,FutureSimple
1632,in_those_days_the_old_empire_news_a_circulation_battle_in_the_west_country,PastProg
1633,this_one_different,PresentSimple
1634,the_state_labour_markets_more_flexible_by_abandoning_both_its_commitment_to_full_employment_and_corporatist_arrangements_involving_consultation_between_unions_management_and_the_state,PresentPerf
1635,hence_the_reason_sevens_coaches_douglas_morgan_and_john_jeffrey_yesterday_of_some_switches_within_the_ranks_both_in_canberra_and_in_fiji_next_week,PastProg
1636,a_verbal_report_usually_enough,FutureSimple
1637,hitler_for_resistance_to_a_cancer_spreading_across_europe,PastPerf
1638,all_these_groups_grave_social_disadvantages,FutureSimple
1639,the_organisation_better,PresentProg
1640,he_most_of_his_sixty_years_in_burma_being_the_son_of_missionary_parents,PastPerf
1641,she_her_own_limitations,PastSimple
1642,furthermore_as_the_matrix_less_sparse_the_problems_associated_with_storage_increase,PresentSimple
1643,the_gap_by_the_arrivals,PastProg
1644,this_entirely_understandable,PresentSimple
1645,the_band_currently_dates_in_the_us_with_the_ramones_suicidal_tendencies_and_cypress_hill,PresentProg
1646,she_quiet_patient_and_grateful_for_all_our_care,PastPerf
1647,he_never_loss_or_loneliness_or_real_fear,PastPerf
1648,the_disgrace_the_shame_terrible,PastPerf
1649,radio_stations_live_transmissions_from_midnight_from_the_tiny_graveyard_where_her_body_lies_buried,PresentProg
1650,good_job_i_with_her,PastSimple
1651,somehow_he_himself_free,PastPerf
1652,on_each_shiny_mirror_a_thin_line_of_white_powder,PresentSimple
1653,muldoon_simply_out_instructions,PastProg
1654,in_the_fine_weather_the_brilliant_colours_medieval_costumes_pomp_and_heraldry_provided_a_splendid_pageant_and_the_public_well_satisfied,PastSimple
1655,traditionally_however_videoconferencing_with_huge_multinationals_permanent_videoconferencing_suites_equipped_like_television_studios_and_expensive_dedicated_broadband_or_satellite_links,PresentPerf
1656,power_now_and_the_intel_pentium_at_cebit_in_germany_this_week,FutureSimple
1657,he_for_his_wonderful_attention_to_detail_and_his_meticulous_work,FutureSimple
1658,the_wind_even_colder,PastProg
1659,dynasty_never_as_good,PastSimple
1660,applications_from_parents_more_than_in_three_years,PresentPerf
1661,they_rubber_the_reagan_revolution,PastPerf
1662,what_they,PastProg
1663,that_the_pigs_or_the,PastProg
1664,the_pendulum_from_silly_dreaming_to_grinding_pragmatism,PresentPerf
1665,most_of_the_night_the_sound_of_the_train_wheels_her_awake,PastPerf
1666,the_pace_of_reforms_to_working_practices_also_up,PresentProg
1667,the_changing_age_structure_with_people_living_longer_an_increasingly_large_proportion_of_elderly_households_often_containing_only_one_person,PresentProg
1668,apart_from_burn_marks_on_her_clothes_and_hair_the_only_noticeable_effect_of_the_explosion_a_dried_strained_voice_and_occasional_coughing_due_to_breathing_in_the_smoke,PastSimple
1669,great_swarms_of_starlings_and_thrushes_the_vineyards_by_day_pecking_at_large_numbers_of_grapes_but_eating_few_and_causing_more_damage_indirectly_by_rot_than_by_anything_else,PresentSimple
1670,having_a_child_always_these_things,FutureSimple
1671,the_dependence_of_the_individual_on_the_group_and_on_certain_individuals_within_it_a_major_theme_in_any_analysis_of_japanese_society,PresentPerf
1672,the_men_her_elbows,PastProg
1673,the_difficulty_of_working_in_an_atmosphere_of_crisis_next,FutureSimple
1674,he_her_all_up,PastPerf
1675,the_enemy_having_mustered_at_dunedin_not_south,PastProg
1676,she_desperate_for_their_help,PastSimple
1677,infant_survival_improved_during_the_eighteenth_century_but_it_not_obvious_why,PresentSimple
1678,by_the_system_proposed_by_the_ulster_movement_power_from_the_people_themselves_implemented_by_street_councils_with_the_residents_delegates_to_area_councils,FutureSimple
1679,no_piece_of_chalk_across_the_front_of_me,PastPerf
1680,what_they_all_it_for,PresentProg
1681,the_operation_of_these_laws_being_impervious_to_our_preferences_men_them_only_at_the_risk_of_failure,FutureSimple
1682,twenty_years_later_it_still_successfully,PresentProg
1683,to_him_the_passing_of_the_water_interminable_the_shining_poles_like_the_dipping_legs_of_a_stranded_insect,PastSimple
1684,well_normally_i_five_pounds,PresentSimple
1685,i_a_majority,PresentSimple
1686,now_if_the_doctors_so_for_instance_there_the_doctors_recommended_er_a_newsagent_well_a_newsagent_well_chemist,PresentSimple
1687,an_hour_past_he_with_his_ministers,PastPerf
1688,i_he,PresentSimple
1689,for_once_they_to_our_music,PresentProg
1690,in_two_respects_however_kaifu_successful_in_his_wishes,PastProg
1691,the_winner_ackland_sixth_form_college_at_middlesbrough_qualified_for_the_regional_final_which_in_gateshead_next_month,FutureSimple
1692,home_captain_norman_owers_critical_of_his_side_after_another_poor_batting_show,PastSimple
1693,the_fact_that_a_person_you_trusted_advantage_and_gone_into_your_home_uninvited,PresentPerf
1694,now_it_a_third_bid_for_influence,PresentProg
1695,the_guests_slowly_past_the_wedded_couple_kissing_them_shaking_their_hands,PastProg
1696,how_controlled,PresentProg
1697,he_at_the_door,PastProg
1698,on_the_other_hand_at_a_heavy_price_tie_a_substantial_victory_for_the_conservative_forces_in_british_life,PastPerf
1699,although_fallacious_it_worth_in_more_detail,PresentProg
1700,i_in_really_good_shape_and_very_confident,PastProg
1701,few_voices_many_worlds_stock_of_the_current_situation_in_global_communication,PresentSimple
1702,india_formerly_the_largest_supplier_of_medicinal_plants_to_the_european_market_now_the_export_of_wild_plants,PresentPerf
1703,the_past_year_certainly_the_skills_of_our_hardworking_staff,PresentPerf
1704,a_strike_by_drivers_on_the_rail_line_serving_the_area_matters_much_worse,FutureSimple
1705,new_video_walkman_a_headset_video_screen_worn_like_ski_goggles_by_japanese_company_sony,PresentProg
1706,the_small_number_of_guests_at_the_lunch_the_two_winning_members_of_staff,FutureSimple
1707,the_function_of_the_victories_in_providing_the_regime_with_even_more_extensive_popular_backing_undeniable,PresentSimple
1708,the_pop_video_a_commodity_saleable_to_the_public,PastPerf
1709,police_and_politicians_urgent_changes_in_the_law,PresentProg
1710,as_well_as_the_tower_the_agency_a_hansel_and_gretel_cottage_deep_in_the_woods_in_northamptonshire_and_a_temple_in_wales,PresentProg
1711,damn_damn_damn_more_proof_that_the_place_on,PastProg
1712,durham,PastPerf
1713,it_three_years_for_ace,PastPerf
1714,my_wooing_of_agnes_apace,PastProg
1715,there_something_funny_on_here,PastProg
1716,he_still_her,PastProg
1717,two_world_wars_them_into_close_and_cooperative_contact_with_government,PastPerf
1718,in_britain_one_in_ten_men_under_the_age_of_retirement_a_heart_attack,FutureSimple
1719,the_aesthetic_evidenced_in_these_rooms_also_us_to_the_brink_of_world_war_ill,PresentPerf
1720,the_third_glimpse_through_poetry,PastSimple
1721,we_these,PresentProg
1722,if_anything_fashion_closer_to_the_context_of_his_style_with_the_passage_of_time,PresentProg
1723,the_medical_royal_colleges_as_guardians_of_high_standards_of_practice_their_influence,PresentProg
1724,the_child_sadly_by_the_window,PastProg
1725,and_then_you_just_through_with_the_introduction_at_the_end,PresentSimple
1726,it_its_old_destination_boxes_and_other_appointments,PastSimple
1727,this_reader_prediction,PresentProg
1728,a_method_for_inspection_duplication_or_omission,FutureSimple
1729,the_early_pilot_books_a_fair_indication_of_the_scope_of_english_nautical_activity,PresentSimple
1730,smithfield_specially_for_the_joust,PastPerf
1731,her_new_job_running_group_sessions_and_making_home_visits,FutureSimple
1732,then_he_away_from_the_door_and_back_to_the_desk,PastSimple
1733,he_now_towards_miss_tilley_and_her_acolyte_smiling,PastSimple
1734,erm_the_question_one_of_integration,PresentSimple
1735,it_very_dangerous,FutureSimple
1736,i_to_one_of_the_tapes_last_night,PastProg
1737,you_about_arnie,PastProg
1738,they_all_apart,PastProg
1739,he_even_her_fingers_from_his_arm_with_every_sign_of_impatience,PastProg
1740,but_he_not_her,PastSimple
1741,up_to_this_point_aimar_loyal_to_the_old_king,PastPerf
1742,in_a_mere_map_the_west_of_britain_fascinating,PresentSimple
1743,it_helpful_though_having_a_light_there,FutureSimple
1744,because_the_third_one_of_their_own,PastPerf
1745,like_many_other_families_we_through_some_difficult_days_this_year,PresentPerf
1746,the_walls_in_varnished_oak,PastPerf
1747,louise_butler_hard,PastProg
1748,but_what_you_about,PresentProg
1749,not_for_the_first_time_this_year_seles_off_with_a_mere_slap_on_the_wrist,PastPerf
1750,by_prior_arrangement_yacht_club_members_yachtsmen_there,FutureSimple
1751,what_you_of_me,FutureSimple
1752,the_dream_true,PastPerf
1753,some_days_more_that_others,PastSimple
1754,the_shower_down_about_six_months_ago,PastSimple
1755,the_tasteless_christmas_jumper_though,PresentPerf
1756,the_building_phase_in_itself_just_the_culmination_of_two_years_of_research_and_development_by_a_team_of_dedicated_technical_professionals_at_the_rnli,PastSimple
1757,action_a_form_of_thought,PresentSimple
1758,there_a_substantial_increase_in_the_number_of_child_psychiatrists_a_great_increase_in_clinical_psychologists_and_an_increase_in_child_psychiatric_nurses,PresentPerf
1759,we_lunch_on_the_way,FutureSimple
1760,we_a_picnic_tea_for_your_third_birthday,PastProg
1761,unlike_bacon_however_paracelsus_not_from_the_standpoint_of_a_scientific_and_medical_amateur,PastProg
1762,this_afternoon_nelson_mandela_his_verdict,PastSimple
1763,particularly_when_when_the_city_council_themselves_in_the_region_of_a_hundred_hectares_of_of_development_adjacent_to_the_a_one_well_well_outside_the_city,PresentProg
1764,you_with_me_for_tonight,PresentPerf
1765,and_there_we_again_at_the_foot_of_the_pitch_of_our_failure_two_pitches_from_the_fish,PastSimple
1766,what_you_so_far,PresentPerf
1767,antony_himself_quite_liking_laurel_after_all,PastSimple
1768,back_at_the_other_end_those_waves_of_lincoln_attacks_still_in,PastProg
1769,johnston_fresh_from_his_victory_on_the_galway_international_also_a_mini_cooper,FutureSimple
1770,miss_thorne_beside_him_pointing_at_something_on_one_of_the_pages,PastSimple
1771,and_a_miss_the_head_mistress,PastSimple
1772,a_police_car_driven_by_a_woman_police_sergeant,PastPerf
1773,de_gaulle_long_his_dissatisfaction_with_the_cold_war_status_quo_clear,PastPerf
1774,events_and_activities_throughout_the_week_at_enjoying_watersports_and_highlighting_safety_and_conservation_issues,FutureSimple
1775,two_oilfields_teapot_dome_in_wyoming_and_elk_hills_in_california_by_the_department_of_the_navy_as_part_of_a_strategic_oil_reserve,PastPerf
1776,similar_deposits_in_ancient_sediments,PresentPerf
1777,as_a_man_he_himself_to_a_story_as_haunting_as_any_in_cricket,PresentSimple
1778,householders_and_shop_owners_in_the_town_on_standby_because_of_the_influx_of_vermin,PresentPerf
1779,someone_her,PastPerf
1780,the_safeguarding_of_the_chelsea_to_hackney_line_already,PresentPerf
1781,as_a_result_of_the_survey_the_revenue_on_improving_the_telephone_service_and_the_clarity_of_its_forms_and_leaflets,FutureSimple
1782,and_i_also_about_twelve_years_old,PastSimple
1783,after_months_of_restoration_the_two_hundred_seat_auditorium_an_audience_for_the_first_time_in_thirty_years,FutureSimple
1784,he_it_with_consummate_aplomb,PastPerf
1785,the_sheikh_mohammed_camp_on_a_target_after_wolfhound_and_steinbeck_run_in_the_free_handicap_at_newmarket_on_wednesday,FutureSimple
1786,or_you_just_very_careful,PresentPerf
1787,you_the_organization,PresentSimple
1788,we_round,PresentPerf
1789,the_politicians_to_washington_as_representatives_of_their_states,PresentSimple
1790,but_modern_surfers_capable_of_their_own_praises,PastProg
1791,how_much_longer_everyone_this_phenomenon,FutureSimple
1792,then_just_it,PresentSimple
1793,apparently_one_of_your_gas_platforms_up,PresentProg
1794,no_doubt_somebody_a_torch_for_him,PastPerf
1795,either_by_good_fortune_or_good_planning_the_ibstock_balance_sheet_strong,PresentSimple
1796,i_restless_in_a_restless_world,PastProg
1797,more_powerfully_he_edward_action_linked_with_scandinavia,PastPerf
1798,what_you_about_eighty_pounds,PastSimple
1799,so_i_there_every_day_now_except_wednesday_my_day_off,PresentSimple
1800,that_shop_like_a_dream_world_to_me_full_of_secrets_and_wonders,PastSimple
1801,and_after_that_there_no_them,PastProg
1802,the_prince_of_wales_soberly_and_correctly_clad_in_formal_evening_attire,PastPerf
1803,so_there_er_plenty_on_it,FutureSimple
1804,already_statistics_up_on_them,PastProg
1805,with_so_many_papers_pinning_so_much_on_these_costly_strategies_to_lure_in_new_readers_it_all_up,FutureSimple
1806,the_ship,PresentProg
1807,its_people_the_entire_population_of_canada,FutureSimple
1808,the_investigation_a_search_of_existing_documentary_evidence_surveys_and_interviews_with_a_cross_section_of_providers_and_adult_students_in_different_localities,FutureSimple
1809,christ_it_one_hell_of_a_thrash_an_absolute_bloody_classic,PastPerf
1810,ashley_him_a_cautious_glance_from_beneath_her_fringe_of_thick_dark_lashes,PastSimple
1811,and_he_not_for_some_days,PastPerf
1812,she_like_a_particularly_stupid_tortoise,PresentSimple
1813,he_a_flat_cap_full_of_coins,PastProg
1814,in_anticipation_of_the_gift_the_collection_in_the_sackler_since_october,PresentPerf
1815,the_effect_of_for_instance_the_banking_and_energy_directives_undoubtedly_in_this_way,FutureSimple
1816,now_the_professionals_their_chance,FutureSimple
1817,rachel_to_her_own_chamber,PastPerf
1818,i_not_for_your_blessing,FutureSimple
1819,he_any_number_of_treasured_possessions_for_me,PresentPerf
1820,last_time_they_a_bit_of_difficulty_organizing_the_rota,PastSimple
1821,what_garth_notes_there_for_then,PastProg
1822,he_near_to_down,PastProg
1823,two_promising_boro_players_for_representative_games,PresentPerf
1824,but_what_your_wife,FutureSimple
1825,the_fabians_indeed_up_to_tafahi_about_a_month_before,PastPerf
1826,fees_search_work_for_on_a_standard_fee_basis,FutureSimple
1827,the_journey_despite_the_distance_between_london_and_the_prison_a_surprisingly_short_time,PastPerf
1828,the_professional_army_for_the_national_will,PresentProg
1829,in_the_meantime_the_government_of_western_australia_such_a_scheme,PresentPerf
1830,you_central_buttress,PresentPerf
1831,right_mrs_a_seat,PresentSimple
1832,the_presence_of_peat_in_the_substrate,FutureSimple
1833,that_the_price_of_the_meal,PresentSimple
1834,well_one_of_those_two_over_your_shoulder_tonight,PastProg
1835,john_paranoid_again,PresentProg
1836,eleanor_so_many_flowers_as_a_child_each_by_its_botanical_and_by_its_common_name,PastPerf
1837,there_many_teachers_out_of_their_cultural_contexts_and_very_frequent_movement_and_transfer,PresentProg
1838,the_benghazi_raid_in_some_detail_later,FutureSimple
1839,it_not_his_fault,PastSimple
1840,finn_at_his_colleague_then_at_houghton,PastSimple
1841,we,PresentPerf
1842,the_driver_not_yet,PresentPerf
1843,and_alex_right,PastPerf
1844,the_boy_a_magnifying_glass_over_a_postcard_and_writing_on_it_in_the_tiniest_hand,PastProg
1845,he_early_that_year,PastPerf
1846,only_this_time_it_the_other_way_round,PresentSimple
1847,his_mailings_singularly_flat_with_gina,PastProg
1848,not_only_in_the_fens_the_waters_back,PastProg
1849,hugh_sixsmith_himself_a_screenplay_writer_of_considerable_though_uncertain_reputation,PastSimple
1850,environmental_geochemistry_a_review_of_the_significance_of_natural_contamination_to_planning_and_development_in_great_britain_out_for_the_doe_with_the_aim_of_outlining_in_broad_terms_the_relevance_of_the_physical_and_chemical_restraints_on_planning_and_development_imposed_by_natural_contamination,PresentProg
1851,his_body_by_a_coastal_ranger_in_formby_the_following_day,PastSimple
1852,she_only_for_a_moment_however,PastPerf
1853,a_true_reflection_of_the_high_cultural_status_guinness_in_its_native_land,PresentPerf
1854,the_coupling_of_tribunals_with_ministerial_enquiries_the_treatment_of_tribunals_since_the_report_of_the_franks_committee,PresentPerf
1855,the_latter_type_of_selection_productive,FutureSimple
1856,he_too_cruel_to_her,PastPerf
1857,this_undoubtedly_one_of_the_stimuli_for_the_development_of_agriculture_selected_agricultural_cultivars_and_the_keeping_of_domestic_stock,PastSimple
1858,peggy_patch_just,PastSimple
1859,in_the_absence_of_any_jetty_we_ashore_disturbing_a_flock_of_lesser_noddy_terns_from_the_beach,PastSimple
1860,michael_sorely,FutureSimple
1861,according_to_paul_you_in_a_substandard_christian_way,PresentProg
1862,the_baltic_crackdown_hesitant,PresentPerf
1863,over_the_last_few_months_the_republic_by_waves_of_euphoria,PastPerf
1864,he_over_management_of_three_monuments_to_dartmoor_national_park_authority,PastProg
1865,it_on_your_nerves,PresentProg
1866,it_probably_but_no_doubt_slowly,FutureSimple
1867,peter_back_on_the_sofa_doing_nothing_in_particular,PastProg
1868,not_victor_some_such_possibility,PastPerf
1869,many_years_ago_he_home_oh_yeah,PastProg
1870,indeed_by_the_standards_of_modern_fiction_it_eminently_worth,PresentProg
1871,evelyn_her_case_to_a_waiting_taxi,PastProg
1872,she_covered_by_a_black_bin_bag,PastPerf
1873,police_not_for_anyone_else_in_connection_with_their_deaths,PresentProg
1874,it_available_in_the_new_year,FutureSimple
1875,so_you_it_right_you_prat,PastProg
1876,the_president_and_chief_executive_officer_around_the_table,PastSimple
1877,those_at_low_risk_just_the_reverse,PresentProg
1878,he_your_word_for_my_good_faith,FutureSimple
1879,arable_in_the_next_chapter,FutureSimple
1880,the_struggle_silent,PastPerf
1881,sandy_the_boat_a_hefty_kick_before_collapsing_on_the_beach_in_stitches,PastPerf
1882,i_the_mathematics_exam,PastPerf
1883,they_about_my_feet_a_flock_of_lambs_bleating_around_a_daft_young_heifer,PastSimple
1884,whom_you_with,PastSimple
1885,but_the_concert_of_europe,PastPerf
1886,she_nothing,PastPerf
1887,they_the_auto_now_plunging_towards_it_backing_away_seeing_nothing_but_each_other,PastProg
1888,this_awareness_itself_achieved_through_rhetoric,PresentSimple
1889,turning_the_dogmas_of_the_sandys_reformation_into_practicable_military_policies_not_easy_when_with_the_real_world_beyond_the_confines_of_whitehall_and_westminster,PastPerf
1890,the_world_really_against_you,PresentProg
1891,dot_again,PastSimple
1892,i_water_quality_by_reducing_filtration,FutureSimple
1893,for_some_such_as_teachers_it_a_case_of_arranging_courses_during_their_holiday_periods,PastSimple
1894,everybody_in_the_squad_good_and_forward_to_this_one,PresentProg
1895,daniel_his_coat_and_the_wind_cut_through_his_thin_shirt_like_a_knife,PastPerf
1896,with_the_number_of_environmental_regulations_escalating_companies_naturally_to_outside_services_for_help_and_advice,PresentPerf
1897,hereford_something_of_a_mini_revival_this_year_inching_their_way_out_of_the_gloom_at_the_bottom_of_division_three,PresentProg
1898,for_a_moment_the_world_less_heartless,PastSimple
1899,to_be_fair_to_the_youth_education_committee_they_already_some_way_in_answering_the_questions_raised,PastPerf
1900,but_we_a_group_based_on_quality_not_quantity,PastSimple
1901,their_understanding_quite_clear,PastPerf
1902,he_with_the_launcher_calmly_perfecting_his_adjustment_of_the_aim,PastPerf
1903,introduction_the_british_library_a_very_considerable_proportion_of_its_resources_during_the_remaining_years_of_this_century_to_the_automated_provision_of_information,PresentProg
1904,your_husband_in_four_minutes,FutureSimple
1905,the_war_in_the_gulf_not,PresentPerf
1906,the_cant_that_occasionally_surfaces_in_ni_articles_finally_a_revolution_and_overthrown_a_complete_issue,PresentPerf
1907,on_boxing_day_i_a_few_spoons_of_gravy_but_only_after_considerable_coaxing_from_mick_having_refused_it_twice_already,PastPerf
1908,prisoners_a_genuine_fear_of_becoming_cabbages,PresentSimple
1909,two_girls_the_donkeys_with_water_containers_and_sacks,PresentProg
1910,he_his_fingers_and_not_at_all_at_ease,PastProg
1911,the_rioters_but_small_things,PastPerf
1912,whatever_it_here,PresentProg
1913,but_he_still_doubtful,PastSimple
1914,he_there_and,PastPerf
1915,hat_party_for_this_a_prize_for_the_best_creation,PresentSimple
1916,for_rover_busy_young_people_to_engineering,PresentProg
1917,the_air_after_all_everything,PresentPerf
1918,dan_lizzy_and_her_mother_to_a_pantomime_of_all_things,PastPerf
1919,here_in_liverpool_elderly_people_every_day,PresentProg
1920,presumably_most_clubs_on_chaps_with_records_ellis,PresentSimple
1921,maybe_he_his_touch,PastProg
1922,yet_sad_to_relate_the_game_always_for_the_wrong_reasons,FutureSimple
1923,the_aroma_of_cooking_everywhere_without_the_smell_of_vinegar_most_places_within,PastSimple
1924,the_application_of_new_technologies_not_the_form_of_a_constant_challenge,FutureSimple
1925,the_newly_pedestrianised_high_street_full_of_locals_and_tourists_the_former_proud_of_their_new_identity_the_latter_indulgently_at_ease,PastSimple
1926,the_associative_network_formed_thus_links_among_contextual_elements_and_between_these_and_elements_of_the_target,FutureSimple
1927,boro_salt_into_the_wound_by_scoring_with_their_first_genuine_scoring_attempt,PastSimple
1928,he_a_great_noble_of_the_empire_perhaps_even_the_emperor_himself,PresentSimple
1929,the_model_using_nottingham,PastSimple
1930,there_a_romance_tonight,PresentSimple
1931,something_like_a_fin_from_the_water,PastSimple
1932,the_helpline_for_former_pupils_staff_and_parents_vital_new_information,PresentProg
1933,he_fond_memories_of_those_early_struggles,PresentSimple
1934,i_dance_music,PresentSimple
1935,nigel_lawson_this_with_some_vigour,PastSimple
1936,the_committee_members_by_the_committee_of_selection,PresentSimple
1937,with_the_growing_interest_in_waterlilies_enthusiasts_all_over_the_world_new_varieties_every_year,PresentProg
1938,bella,PastProg
1939,the_tory_party_always_retrospective_legislation,PastPerf
1940,i,FutureSimple
1941,but_in_some_cases_two_years_without_the_money_being_refunded_by_him,PastPerf
1942,the_sky_black_over_the_mountains,PastSimple
1943,but_nothing_much_it,PastProg
1944,feverishly_her_hands_fumbled_with_the_waistband_of_his_trousers_desperate_to_give_him_the_pleasure_he_her,PastProg
1945,i,PresentPerf
1946,well_he_up_the_bloody_first_stair,PastSimple
1947,manifestly_they_very_poor,PastSimple
1948,the_subject_before,PresentPerf
1949,the_lights_all,PresentPerf
1950,film_capable_of_above_the_limitations_of_language_and_other_cultural_barriers,PresentProg
1951,even_the_same_bell_he,PastSimple
1952,we_about_a_rejection_test,PresentProg
1953,oh_no_her_sister_and_all_her_mates_up_this_weekend,PresentProg
1954,she_on_and_on_imagining_herself_utterly_alone_wearing_nothing_at_all,PastSimple
1955,the_chief_groom_a_minute_later_leading_the_arab,PastSimple
1956,outside_the_wind_strongly,PastProg
1957,and_he,PastProg
1958,but_so_far_we_no_direct_approach,PresentPerf
1959,and_how_you,PresentSimple
1960,a_second_trend_toward_physical_and_organic_processes_through_the_concept_of_cycling_of_energy_and_materials_within_ecosystems,PresentProg
1961,levi_a_gambler_right,PresentSimple
1962,jeopardising_your_job_or_business,PresentProg
1963,ari_and_i_here,FutureSimple
1964,looking_to_the_future_filming_on_a_service_quality_development_video_on_telephone_techniques,PresentPerf
1965,the_statutory_liability_of_unions_for_the_actions_of_their_members_rise_to_many_difficulties,PresentPerf
1966,coleman_enough,PastPerf
1967,as_always_he_in_the_wild_isolation_of_the_estuary_shoreline,PastPerf
1968,an_hour_after_rose_from_the_cottage,PastPerf
1969,to_her_surprise_the_small_room_of_the_post_office_full_of_people_waiting_for_the_evening_mail,PastSimple
1970,now_the_pattern_full_circle,PresentPerf
1971,for_eleven_years_loyally_assisted_by_his_wife_he_under_almost_intolerable_conditions,PastPerf
1972,its_main_advantage_the_simplicity_of_the_test,PresentSimple
1973,i_bitterly_for_most_of_the_time,PastProg
1974,time_for_action_she,PastSimple
1975,in_britain_as_elsewhere_sterilization_the_most_important_means_of_family_limitation_among_all_classes,PresentProg
1976,why_you_me,PresentProg
1977,how_thrift_er,PresentProg
1978,no_what_you,PresentProg
1979,he_depressed,PastPerf
1980,yes_his_marriage_an_arranged_one,PastPerf
1981,i_just_it_being_like_a_rabbit_or_something,PastProg
1982,the_more_political_and_propagandist_elements_absent_from_tradition,PresentSimple
1983,this_invaluable_for_my_second_pregnancy_and_birth,PastSimple
1984,the_shelters_housing_each_flight_the_equipment_against_a_surprise_attack_by_soviet_aircraft_or_missiles,FutureSimple
1985,the_style_as_a_new_form_of_conservatism_based_on_an_alliance_between_poorer_white_farmers_and_an_aristocracy_beleaguered_by_a_combination_of_factors_including_a_fall_in_tobacco_prices_a_rise_in_slavery_and_a_shift_in_local_identity,PresentSimple
1986,the_team_well_but_far_too_fancy,PastSimple
1987,he_terrified_of_heights,PastSimple
1988,you_that_at_all,PresentPerf
1989,your_band_booked_for_a_pub_gig,PresentSimple
1990,simon_at_him,PastProg
1991,many_schools_now_at_the_whole_issue_of_profiling_and_records_of_achievement,PresentProg
1992,you_marmalade,PresentSimple
1993,they_from_that_side,PresentProg
1994,the_retailer_a_reputation_for_low_prices_and_efficient_service,PresentPerf
1995,over_the_years_several_people_hearing_strange_sounds_emanating_from_it,PastPerf
1996,indeed_for_many_of_us_we_never_it_so_good,PresentPerf
1997,gouache_ideal_for_the_fleeting_effects_of_light_shimmering_on_the_sea_and_the_wistful_skies_above,PresentProg
1998,mr_into_second_place,PresentPerf
1999,mckinsey_a_consultancy_a_different_approach,PresentPerf
2000,at_least_your_conscience_clear,FutureSimple
2001,currently_alan_extreme_difficulty_in_getting_hold_of_any_dried_blood,PresentProg
2002,our_consultant_architects_a_very_thorough_job_of_preparing_the_background_papers,PresentPerf
2003,recommendations_from_that_consultation_exercise_then_back_to_this_congress,FutureSimple
2004,who_they_for,PresentSimple
2005,imports_of_foodstuffs_as_a_whole_rapidly_in_recent_years,PresentPerf
2006,he_appointed_demonstrator_in_anatomy_in_his_second_year_as_a_student_a_remarkable_achievement,PastPerf
2007,what_you_now_fi_up_to_five_thousand_pounds,PresentProg
2008,why_barrymore,PastPerf
2009,i,PastProg
2010,right_which_what,PresentSimple
2011,maybe_seeing_their_mother_and_father_in_such_pain_a_bad_effect_on_the_little_girls,PastProg
2012,at_last_the_call,PastSimple
2013,his_authority,PastProg
2014,at_least_this_possibility_and_the_sporadic_occurrence_of_english_metalwork_on_the_continent_point_to_the_areas_to_which_goods_whatever_the_basis_for_the_exchange_and_its_volume,PastProg
2015,you_well_alexai_ybreska,PresentPerf
2016,why_then_she_up_in_such_a_mess,PastPerf
2017,and_these_people_not_on_agriculture_alone,PastProg
2018,but_the_damage_largely,PastPerf
2019,his_neck_also,PastPerf
2020,this_major_prestigious_event_currently_by_northern_arts,PresentProg
2021,fear_at_its_pitch_during_the_first_few_hours_and_days,PastPerf
2022,many_of_the_buildings_the_clouds,PastSimple
2023,somehow_sensing_this_connection_clerics_as_if_by_a_magnet_to_the_rails,PresentPerf
2024,yes_but_on_the_other_hand_yes_yes_he_katie_thanks,PresentSimple
2025,it_boldly_patterned_in_black_and_white,PresentSimple
2026,the_blank_face_the_same_purpose_as_old_style_screens,FutureSimple
2027,and_how_long_between_the_armed_officers_going_in_and_mr_leaving_flats,PastPerf
2028,thus_a_correlation_between_faecal_fat_and_faecal_bile_acid_excretion_not_in_all_studies,PresentPerf
2029,by_this_time_it_just_around_the_corner_from_staveley_town_south_junction,PastSimple
2030,they_forty_each,PresentSimple
2031,his_talents_the_hospital_staff_well_entertained,PastSimple
2032,by_hell_it,PresentSimple
2033,it_the_station_scene_at_the_beginning_of_the_story,PastSimple
2034,fortunately_in_most_countries_these_incidents_less_frequent,PresentProg
2035,your_baby_premature,PresentSimple
2036,passion_them,PastProg
2037,instead_of_plunging_into_the_pool_you_simply_your_head_in_a_salad_bowl,PastSimple
2038,in_canada_gas_resources_not_a_limiting_factor,PresentSimple
2039,yeah_british_gas_the_ovens,PresentProg
2040,within_my_first_week_or_so_in_the_house_i_in_the_smoking_room_reading_a_book,PastProg
2041,the_best_interest_by_the_professional,FutureSimple
